call_id,function_id,function_name,value_id,formal_parameter_position,actual_argument_position,argument_type,expression_type,value_type,default,dot_dot_dot,preforce,direct_force,direct_lookup_count,direct_metaprogram_count,indirect_force,indirect_lookup_count,indirect_metaprogram_count,S3_dispatch,S4_dispatch,forcing_actual_argument_position,non_local_return,execution_time,expression
7,kyHMVb6DZwuqPTUgzaH6Yg==,(base::get),2,0,0,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
7,kyHMVb6DZwuqPTUgzaH6Yg==,(base::get),3,1,1,Promise,Function Call,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
7,kyHMVb6DZwuqPTUgzaH6Yg==,(base::get),4,2,2,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
7,kyHMVb6DZwuqPTUgzaH6Yg==,(base::get),5,3,3,Promise,Character,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
7,kyHMVb6DZwuqPTUgzaH6Yg==,(base::get),6,4,4,Promise,Logical,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
10,TiXb0SpWeu9tQnJoZ8RjEQ==,(base::print.default),0,0,0,Promise,Character,Unbound,0,0,0,0,1,0,0,0,0,0,0,-1,0,0.000000,
10,TiXb0SpWeu9tQnJoZ8RjEQ==,(base::print.default),7,1,1,Promise,Null,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
10,TiXb0SpWeu9tQnJoZ8RjEQ==,(base::print.default),8,2,2,Promise,Logical,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
10,TiXb0SpWeu9tQnJoZ8RjEQ==,(base::print.default),9,3,3,Promise,Null,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
10,TiXb0SpWeu9tQnJoZ8RjEQ==,(base::print.default),10,4,4,Promise,Null,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
10,TiXb0SpWeu9tQnJoZ8RjEQ==,(base::print.default),11,5,5,Promise,Logical,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
10,TiXb0SpWeu9tQnJoZ8RjEQ==,(base::print.default),12,6,6,Promise,Null,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
10,TiXb0SpWeu9tQnJoZ8RjEQ==,(base::print.default),13,7,7,Promise,Logical,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
10,TiXb0SpWeu9tQnJoZ8RjEQ==,(base::print.default),14,8,8,Missing,Unassigned,Unassigned,1,1,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
5,gEXRIOT1Fn7j9CSm4cdVuQ==,(base::print),0,0,0,Promise,Character,Unbound,0,0,0,0,0,0,0,1,0,0,0,-1,0,0.000000,
5,gEXRIOT1Fn7j9CSm4cdVuQ==,(base::print),1,1,1,Missing,Unassigned,Unassigned,1,1,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
