event,count
DyntraceEntry,0.000000
DyntraceExit,1.000000
EvalEntry,3720.000000
ClosureEntry,294.000000
ClosureExit,272.000000
BuiltinEntry,290.000000
BuiltinExit,290.000000
SpecialEntry,821.000000
SpecialExit,779.000000
S3DispatchEntry,0.000000
S4DispatchArgument,0.000000
ContextEntry,327.000000
ContextJump,9.000000
ContextExit,307.000000
GcAllocate,0.000000
PromiseForceEntry,0.000000
PromiseForceExit,0.000000
PromiseValueLookup,158.000000
PromiseExpressionLookup,27.000000
PromiseEnvironmentLookup,0.000000
PromiseExpressionAssign,0.000000
PromiseValueAssign,40.000000
PromiseEnvironmentAssign,0.000000
PromiseSubstitute,5.000000
GcUnmark,0.000000
EnvironmentVariableDefine,0.000000
EnvironmentVariableAssign,0.000000
EnvironmentVariableRemove,0.000000
EnvironmentVariableLookup,0.000000
